  Partitions	  BCS[-]	  ICP[-]	  SM[+]	  MQ[+]	  IFN[-]	  WC_time[-]	  Loss[-]
           5	   1.314	   0.306	  0.087	  2.443	   2.8  	        6.12	   -1.35
           3	   2.309	   0.322	  0.101	  2.417	   4.667	        5.42	   -0.482
           3	   1.878	   0.309	  0.104	  2.458	   4.667	        5.04	   -0.082
           3	   1.943	   0.262	  0.159	  2.016	   5    	        6.21	    0.62
           5	   1.636	   0.386	  0.132	  2.843	   4    	        6.01	   -0.997
           4	   1.643	   0.118	  0.059	  1.667	   1.75 	        6.09	   -1.737
           4	   1.935	   0.39 	  0.109	  2.259	   4.5  	        5.9 	   -0.193
           4	   1.409	   0.322	  0.1  	  2.417	   3.5  	        5.41	   -0.748
           4	   2.028	   0.306	  0.142	  1.928	   5    	        5.45	    0.596
           5	   1.842	   0.417	  0.099	  2.462	   4.2  	        6.42	   -0.62
           4	   2.213	   0.379	  0.137	  2.999	   4.25 	        5.89	   -1.478
           4	   1.643	   0.131	  0.06 	  1.364	   1.75 	        5.72	   -1.448
           3	   1.311	   0    	  0.027	  1    	   0    	        4.7 	   -2.338
           5	   1.722	   0.646	  0.04 	  2.269	   6    	        5.84	    1.323
           3	   1.311	   0    	  0.027	  1    	   0    	        4.56	   -2.338
           5	   1.65 	   0.383	  0.138	  2.921	   3.8  	        5.92	   -1.292
           3	   2.19 	   0.129	  0.066	  1.75 	   2.667	        4.87	   -1.468
           5	   1.983	   0.468	  0.108	  2.774	   4.2  	        5.67	   -1.133
           5	   1.675	   0.507	  0.117	  2.756	   4.4  	        5.73	   -0.655
           3	   1.878	   0.129	  0.066	  1.75 	   2.667	        4.77	   -1.156
           4	   1.409	   0.176	  0.118	  2.194	   3.25 	        5.86	   -0.647
           5	   1.372	   0.325	  0.142	  2.934	   3.2  	        5.55	   -1.573
           3	   0.999	   0.193	  0.088	  1.667	   2    	        4.78	   -0.947
           4	   0.983	   0.179	  0.065	  1.724	   1.5  	        5.04	   -1.451
           5	   1.636	   0.374	  0.087	  2.27 	   3.6  	        5.93	   -0.767
           3	   0.999	   0.179	  0.079	  1.724	   2    	        4.94	   -0.981
           4	   1.385	   0.248	  0.075	  1.611	   2.5  	        5.25	   -0.819
           3	   1.311	   0.179	  0.088	  1.693	   2    	        4.68	   -1.271
           4	   0.983	   0.193	  0.072	  1.667	   1.5  	        5.23	   -1.415
           3	   2.479	   0.426	  0.1  	  2.3  	   6.333	        4.81	    1.028
           4	   2.094	   0.45 	  0.083	  2.241	   4.75 	        5.29	   -0.118
           3	   2.384	   0.364	  0.097	  2.434	   5    	        5.34	   -0.279
           3	   1.311	   0    	  0.027	  1    	   0    	        4.69	   -2.338
           4	   1.811	   0.331	  0.223	  2.357	   4.5  	        5.21	   -0.222
           4	   1.66 	   0.176	  0.147	  2.036	   3.25 	        5.25	   -0.769
           3	   1.943	   0.268	  0.077	  1.592	   4    	        4.94	    0.12
           4	   1.66 	   0.174	  0.048	  1.683	   3.25 	        5.39	   -0.315
           5	   1.767	   0.341	  0.111	  2.921	   3.8  	        6.07	   -1.34
           3	   1.926	   0.331	  0.119	  2.273	   5.667	        4.7 	    1.018
           5	   1.675	   0.307	  0.113	  2.249	   2.8  	        5.71	   -1.544
           5	   2.172	   0.603	  0.146	  3.565	   4.8  	        5.95	   -1.686
           4	   1.816	   0.322	  0.093	  2.417	   3.5  	        5.79	   -1.148
           3	   2.255	   0.268	  0.077	  1.592	   4    	        5.17	   -0.192
           3	   1.901	   0.322	  0.122	  2.375	   4.667	        4.6 	   -0.053
           5	   1.328	   0.361	  0.087	  2.388	   3    	        5.68	   -1.164
           5	   1.314	   0.322	  0.09 	  2.417	   2.8  	        5.76	   -1.343
           4	   1.643	   0.306	  0.098	  2.425	   3.5  	        5.25	   -0.972
           5	   1.314	   0.309	  0.089	  2.458	   2.8  	        6.35	   -1.37
           4	   1.457	   0.466	  0.147	  2.662	   5.25 	        6.02	    0.518
           3	   2.415	   0.375	  0.101	  2.282	   6    	        4.98	    0.827
           4	   1.816	   0.307	  0.091	  2.405	   3.5  	        5.26	   -1.119
           5	   1.314	   0.322	  0.09 	  2.417	   2.8  	        5.74	   -1.343
           5	   1.694	   0.498	  0.101	  2.884	   4.4  	        5.74	   -0.777
           4	   1.457	   0.402	  0.166	  2.678	   4.75 	        5.5 	    0.047
           5	   1.722	   0.473	  0.169	  3.405	   4.4  	        5.75	   -1.369
           4	   1.763	   0.361	  0.088	  2.414	   3.75 	        5.17	   -0.876
           5	   1.416	   0.343	  0.173	  2.507	   3.8  	        6.09	   -0.639
           3	   1.311	   0.193	  0.088	  1.667	   2    	        4.65	   -1.259
           5	   1.314	   0.307	  0.09 	  2.375	   2.8  	        6.51	   -1.286
           5	   1.636	   0.284	  0.098	  2.899	   3.4  	        5.86	   -1.517
           4	   2.117	   0.402	  0.118	  2.841	   4.75 	        5.67	   -0.728
           3	   1.311	   0    	  0.027	  1    	   0    	        4.9 	   -2.338
           3	   0.999	   0.193	  0.088	  1.667	   2    	        4.82	   -0.947
           5	   2.135	   0.605	  0.101	  3.276	   5.2  	        5.66	   -0.917
           5	   2.422	   0.483	  0.078	  2.449	   5    	        5.72	   -0.432
           3	   1.311	   0    	  0.027	  1    	   0    	        4.85	   -2.338
           4	   1.86 	   0.284	  0.1  	  2.338	   3    	        6.01	   -1.582
           4	   0.983	   0.047	  0.128	  1.286	   1.25 	        5.64	   -1.194
           3	   2.351	   0.268	  0.078	  1.592	   4    	        4.83	   -0.289
           4	   1.86 	   0.388	  0.178	  2.61 	   4.5  	        5.42	   -0.536
           3	   1.535	   0.248	  0.088	  1.611	   3.333	        4.7 	   -0.149
           3	   1.311	   0.179	  0.079	  1.724	   2    	        4.68	   -1.293
           5	   1.328	   0.337	  0.125	  2.507	   3.6  	        6.08	   -0.697
           4	   2.241	   0.307	  0.065	  2.208	   4.5  	        5.7 	   -0.321
           3	   1.311	   0.179	  0.079	  1.724	   2    	        4.85	   -1.293
           5	   1.65 	   0.368	  0.109	  2.678	   3    	        5.88	   -1.805
           4	   1.935	   0.365	  0.106	  2.33 	   4    	        5.94	   -0.736
           5	   1.636	   0.297	  0.116	  2.269	   3.2  	        5.68	   -1.118
           4	   1.643	   0.237	  0.094	  2.325	   3.5  	        5.45	   -0.799
           4	   1.409	   0.347	  0.112	  2.238	   4.5  	        5.25	    0.394
           4	   1.865	   0.386	  0.086	  2.3  	   4.25 	        6.2 	   -0.387
           3	   1.847	   0.238	  0.069	  1.705	   3    	        4.7 	   -0.859
           3	   2.286	   0.306	  0.102	  2.425	   4.667	        4.76	   -0.452
           5	   1.675	   0.399	  0.139	  2.921	   3.8  	        5.69	   -1.334
           3	   1.878	   0.129	  0.066	  1.75 	   2.667	        5.02	   -1.156
           4	   2.332	   0.458	  0.036	  1.97 	   5.5  	        5.79	    0.704
           5	   1.548	   0.31 	  0.113	  2.295	   3.2  	        7.52	   -1.066
           5	   1.133	   0.325	  0.138	  2.934	   3.2  	        6.56	   -1.33
           3	   1.847	   0.238	  0.087	  1.658	   3    	        5   	   -0.83
           4	   1.604	   0.297	  0.118	  2.498	   3    	        5.82	   -1.517
           5	   2.235	   0.638	  0.086	  2.938	   5.6  	        5.79	   -0.297
           4	   2.302	   0.341	  0.084	  2.352	   4    	        5.33	   -1.079
           4	   1.643	   0.172	  0.16 	  1.952	   3.25 	        5.26	   -0.677
           3	   2.235	   0.139	  0.061	  1.727	   3    	        4.74	   -1.162
           5	   1.243	   0.293	  0.152	  2.884	   2.6  	        5.85	   -1.972
           5	   1.314	   0.322	  0.09 	  2.417	   2.8  	        6.92	   -1.343
           4	   1.457	   0.359	  0.136	  1.929	   4.25 	        5.37	    0.369
           4	   1.917	   0.4  	  0.142	  2.433	   5    	        5.28	    0.108
           5	   1.328	   0.362	  0.085	  2.425	   3    	        5.62	   -1.2
           4	   2.045	   0.329	  0.084	  2.361	   4    	        5.65	   -0.819
           4	   1.888	   0.37 	  0.086	  2.324	   4    	        5.63	   -0.668
           3	   2.19 	   0.129	  0.066	  1.75 	   2.667	        4.78	   -1.468
           3	   2.19 	   0.125	  0.073	  1.667	   2.667	        4.64	   -1.388
           4	   2.045	   0.17 	  0.102	  2.382	   2.5  	        5   	   -2.199
           3	   1.824	   0.281	  0.054	  1.579	   4.667	        4.78	    0.929
           4	   1.643	   0.315	  0.096	  2.37 	   3.75 	        5.83	   -0.674
           4	   1.643	   0.135	  0.054	  1.69 	   2.25 	        5.16	   -1.272
           3	   0.999	   0.193	  0.088	  1.667	   2    	        4.45	   -0.947
           5	   1.314	   0.307	  0.098	  2.337	   2.8  	        5.81	   -1.256
           3	   2.19 	   0.129	  0.066	  1.75 	   2.667	        4.99	   -1.468
           4	   2.218	   0.355	  0.114	  2.845	   4.25 	        5.64	   -1.282
           5	   1.636	   0.389	  0.137	  2.831	   4    	        6.09	   -0.993
           5	   1.314	   0.173	  0.134	  2    	   2.6  	        6.05	   -1.021
           5	   1.694	   0.459	  0.145	  3.202	   4.6  	        5.57	   -0.9
           3	   1.407	   0.179	  0.07 	  1.724	   2    	        4.76	   -1.38
           3	   1.943	   0.241	  0.066	  1.693	   3.333	        4.45	   -0.61
           3	   1.311	   0.179	  0.079	  1.724	   2    	        4.71	   -1.293
           4	   1.409	   0.32 	  0.101	  2.4  	   3.5  	        5.11	   -0.73
           4	   2.05 	   0.402	  0.071	  2.29 	   4.5  	        5.09	   -0.313
           3	   1.542	   0.193	  0.073	  1.667	   2    	        4.56	   -1.475
           3	   1.407	   0.179	  0.105	  1.654	   2    	        4.53	   -1.345
