|   k |   BCS [-] |   ICP [-] |   SM [+] |   MQ [+] |   IFN [-] |   Time [-] |
|  12 |     2.939 |     0.824 |    0.069 |    2.421 |     6.143 |    140.753 |
|   6 |     3.096 |     0.678 |    0.133 |    2.833 |       7.6 |     58.028 |
|  11 |     2.254 |     0.628 |    0.059 |    2.887 |      4.75 |     52.237 |
|  11 |     2.078 |     0.542 |     0.06 |    3.341 |     3.889 |     15.163 |
|  15 |     2.141 |     0.676 |    0.009 |    2.997 |       4.1 |     12.257 |
|   2 |     2.674 |     0.076 |    0.151 |      1.6 |         2 |      3.344 |
|   5 |     2.538 |     0.355 |    0.117 |    3.114 |         5 |      9.449 |
|  13 |     2.097 |      0.66 |    0.051 |    3.195 |     4.444 |    210.623 |
|  12 |     2.277 |     0.615 |    0.037 |    2.562 |       4.5 |     34.821 |
|   3 |     2.954 |     0.449 |    0.042 |    1.621 |         9 |      1.305 |
