|   Proposed Partitions |   Discovered Partitions |   BCS[-] |   ICP[-] |   SM[+] |   MQ[+] |   IFN[-] |   WC_time[-] |   Loss[-] |
|                     5 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2    |     4.552 |
|                     9 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.38 |     4.552 |
|                    11 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.07 |     4.21  |
|                     7 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.17 |     4.21  |
|                    12 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.02 |     4.21  |
|                     3 |                       8 |    2.152 |    0.769 |   0.033 |   2.599 |    4.5   |         2.5  |     4.789 |
|                     3 |                       8 |    2.152 |    0.711 |   0.014 |   2.547 |    4.125 |         2.04 |     4.427 |
|                     4 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.23 |     4.21  |
|                     6 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.25 |     4.552 |
|                     8 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.36 |     4.552 |
|                    12 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.48 |     4.21  |
|                    10 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         1.96 |     4.552 |
|                    12 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.06 |     4.552 |
|                    12 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.12 |     4.552 |
|                    11 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.07 |     4.21  |
|                     5 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.16 |     4.552 |
|                     5 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         1.97 |     4.21  |
|                     7 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         3.05 |     4.552 |
|                     7 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         1.97 |     4.552 |
|                     3 |                       8 |    2.152 |    0.769 |   0.033 |   2.599 |    4.5   |         1.99 |     4.789 |
|                    11 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.43 |     4.21  |
|                     5 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         1.89 |     4.21  |
|                     8 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.12 |     4.21  |
|                     8 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         1.99 |     4.21  |
|                     8 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.38 |     4.21  |
|                     8 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         1.94 |     4.21  |
|                     8 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.1  |     4.21  |
|                    11 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.1  |     4.21  |
|                    11 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         1.93 |     4.21  |
|                     9 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.63 |     4.21  |
|                    11 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.14 |     4.552 |
|                     5 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.26 |     4.21  |
|                     5 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.63 |     4.21  |
|                     9 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.01 |     4.21  |
|                     5 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.23 |     4.21  |
|                     6 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.04 |     4.552 |
|                     9 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         1.92 |     4.21  |
|                     9 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2    |     4.21  |
|                     4 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.05 |     4.552 |
|                     4 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.25 |     4.21  |
|                     4 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.13 |     4.552 |
|                    10 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.31 |     4.21  |
|                    11 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.01 |     4.552 |
|                     6 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2    |     4.21  |
|                    10 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.25 |     4.552 |
|                     3 |                       8 |    2.152 |    0.711 |   0.014 |   2.547 |    4.125 |         2.24 |     4.427 |
|                     8 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.06 |     4.552 |
|                     9 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.21 |     4.21  |
|                     8 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.11 |     4.552 |
|                     5 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.34 |     4.21  |
|                     8 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.14 |     4.552 |
|                     7 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.39 |     4.21  |
|                     8 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.22 |     4.21  |
|                     8 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         1.88 |     4.552 |
|                    12 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.04 |     4.552 |
|                    11 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.06 |     4.21  |
|                     3 |                       8 |    2.152 |    0.711 |   0.014 |   2.547 |    4.125 |         2.43 |     4.427 |
|                     9 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.69 |     4.21  |
|                    11 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.05 |     4.552 |
|                     9 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         1.98 |     4.552 |
|                     7 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.35 |     4.21  |
|                     7 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.03 |     4.21  |
|                    12 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.01 |     4.21  |
|                     5 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.12 |     4.21  |
|                     5 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.54 |     4.552 |
|                     8 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.3  |     4.21  |
|                    11 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         1.94 |     4.21  |
|                    11 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         1.98 |     4.21  |
|                     9 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.25 |     4.21  |
|                     6 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         1.99 |     4.21  |
|                     5 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.63 |     4.21  |
|                     8 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         1.9  |     4.21  |
|                     8 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.03 |     4.21  |
|                     5 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.14 |     4.21  |
|                     9 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         1.94 |     4.21  |
|                     9 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.39 |     4.552 |
