  Partitions	  BCS[-]	  ICP[-]	  SM[+]	  MQ[+]	  IFN[-]	  WC_time[-]	  Loss[-]
           4	   1.779	   0.036	  0.114	  2.796	   0.5  	        6.97	   -4.225
           4	   2.595	   0.168	  0.041	  2.815	   4.25 	        7.18	   -1.369
           3	   2.346	   0.002	  0.128	  2.909	   0.333	        6.05	   -5.052
           5	   3.516	   0.431	  0.127	  2.947	  11.2  	        7.81	    4.179
           3	   2.411	   0.004	  0.057	  1.909	   0.333	        6.32	   -4.048
           3	   2.683	   0.091	  0.119	  2.777	   5.333	        6.44	   -0.337
           3	   3.339	   0.112	  0.05 	  2.618	   4    	        6.91	   -2.119
           5	   1.599	   0.006	  0.104	  3.901	   0.6  	        7.67	   -5.01
           5	   2.816	   0.2  	  0.059	  2.257	   5.4  	        7.51	    0.068
           3	   2.355	   0.008	  0.145	  2.881	   1    	        6.56	   -4.389
           5	   1.982	   0.033	  0.1  	  3.285	   1    	        7.56	   -4.4
           4	   2.791	   0.139	  0.1  	  2.732	   3.75 	        7.31	   -2.012
           5	   2.8  	   0.344	  0.093	  4.275	   7.4  	        7.87	   -0.112
           3	   3.184	   0.259	  0.104	  2.697	  10    	        6.94	    3.756
           5	   0.879	   0.004	  0.105	  2.663	   0.4  	        7.47	   -3.251
           3	   2.281	   0.027	  0.138	  2.706	   1.667	        6.64	   -3.485
           3	   3.158	   0.28 	  0.07 	  1.681	  12    	        6.59	    6.811
           5	   2.454	   0.139	  0.047	  2.818	   3    	        7.6 	   -2.458
           5	   1.674	   0.063	  0.191	  3.347	   1.4  	        7.68	   -3.875
           4	   2.807	   0.177	  0.122	  3.654	   6.25 	        8.45	   -0.51
           5	   2.899	   0.211	  0.08 	  3.533	   7.6  	        8.21	    0.877
           5	   2.401	   0.064	  0.041	  2.645	   2    	        8.79	   -3.151
           4	   1.37 	   0.004	  0.119	  2.576	   0.5  	        8   	   -3.569
           5	   1.507	   0.063	  0.142	  3.501	   1.4  	        7.76	   -3.813
           5	   3.063	   0.23 	  0.088	  4.372	   5.4  	        8.36	   -2.353
           3	   3.342	   0.195	  0.056	  2.655	   8    	        6.64	    1.752
           3	   1.692	   0    	  0.01 	  1    	   0    	        6.61	   -2.702
           4	   2.24 	   0.063	  0.058	  2.502	   1.75 	        7.01	   -3.113
           4	   2.359	   0.161	  0.034	  1.834	   4.5  	        6.93	    0.112
           4	   2.372	   0.197	  0.08 	  2.522	   5.75 	        7.35	    0.579
           3	   2.943	   0.031	  0.03 	  1.842	   2    	        6.49	   -2.846
           5	   2.441	   0.183	  0.089	  4.089	   6.2  	        8.32	   -0.602
           3	   2.285	   0.027	  0.071	  1.706	   1.667	        6.44	   -2.422
           5	   2.238	   0.278	  0.059	  2.543	   7.4  	        7.91	    2.282
           3	   3.158	   0.303	  0.071	  1.618	  14.333	        6.48	    9.183
           4	   1.37 	   0.004	  0.116	  2.663	   0.5  	        7.16	   -3.653
           4	   3.44 	   0.386	  0.117	  3.288	  11.25 	        7.77	    4.019
           5	   1.23 	   0.002	  0.101	  2.8  	   0.2  	        8.51	   -3.933
           5	   1.444	   0.036	  0.073	  1.796	   0.4  	        7.62	   -2.949
           5	   1.094	   0.002	  0.05 	  1.8  	   0.2  	        8.09	   -2.746
           3	   2.411	   0.006	  0.062	  1.885	   0.667	        6.51	   -3.697
           4	   2.706	   0.144	  0.088	  2.727	   4    	        7.25	   -1.665
           5	   2.105	   0.141	  0.126	  3.594	   3.2  	        7.99	   -2.766
           4	   2.091	   0.139	  0.053	  1.821	   3.75 	        7.05	   -0.354
           5	   1.608	   0.04 	  0.137	  3.591	   0.8  	        7.9 	   -4.576
           3	   3.03 	   0.267	  0.145	  2.463	   9.333	        6.87	    3.428
           3	   2.18 	   0    	  0.136	  3    	   0    	        6.39	   -5.316
           5	   2.142	   0.095	  0.086	  3.663	   2.2  	        8.23	   -3.786
           3	   2.411	   0.038	  0.114	  2.796	   1    	        7.1 	   -4.359
           4	   2.696	   0.158	  0.073	  2.669	   4.5  	        8.35	   -1.096
           5	   3.174	   0.199	  0.116	  3.799	   7    	        7.89	   -0.288
           5	   2.694	   0.207	  0.147	  4.504	   4.6  	        8.05	   -2.952
           5	   2.182	   0.063	  0.101	  4.501	   1.4  	        8   	   -5.447
           4	   2.208	   0.051	  0.119	  2.911	   1    	        7.2 	   -4.289
           3	   2.599	   0.063	  0.032	  1.723	   2.333	        6.75	   -2.084
           5	   1.956	   0.038	  0.048	  2.705	   0.6  	        8.54	   -4.147
