|   k |   BCS [-] |   ICP [-] |   SM [+] |   MQ [+] |   IFN [-] |   Time [-] |
|  13 |     2.067 |     0.564 |    0.029 |    2.434 |       4.5 |     30.075 |
|  14 |     2.037 |     0.482 |    0.062 |    2.971 |      3.75 |     33.155 |
|   3 |     3.428 |     0.409 |    0.065 |    1.881 |     7.667 |      1.797 |
|   7 |     2.959 |     0.729 |    0.151 |    2.571 |     5.571 |     10.631 |
|  14 |     2.699 |     0.824 |    0.041 |    2.136 |     4.889 |     42.637 |
|   9 |     2.902 |     0.722 |    0.048 |    2.955 |     5.429 |     55.279 |
|  14 |     2.797 |     0.713 |    0.153 |     3.11 |         5 |     77.116 |
|   5 |     3.204 |     0.678 |     0.09 |    2.738 |         7 |      1.435 |
|   9 |     2.976 |     0.806 |    0.109 |    3.192 |     5.375 |     90.475 |
|  15 |     2.184 |     0.643 |    0.008 |    3.086 |     4.333 |     183.76 |
