|   Proposed Partitions |   Discovered Partitions |   BCS[-] |   ICP[-] |   SM[+] |   MQ[+] |   IFN[-] |   WC_time[-] |   Loss[-] |
|                    27 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.38 |     2.921 |
|                    21 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.1  |     2.744 |
|                    20 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.06 |     2.921 |
|                    24 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.28 |     2.921 |
|                     5 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.38 |     2.271 |
|                     5 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.12 |     2.921 |
|                    21 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.09 |     2.271 |
|                     4 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.01 |     2.921 |
|                    14 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.15 |     2.744 |
|                     8 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         3.05 |     2.921 |
|                    17 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.39 |     2.921 |
|                    11 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.45 |     2.921 |
|                    24 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.55 |     2.921 |
|                     9 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.42 |     2.271 |
|                    32 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.3  |     2.921 |
|                    14 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.03 |     2.744 |
|                    14 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.37 |     2.744 |
|                     3 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         1.94 |     2.921 |
|                    21 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.11 |     2.271 |
|                    31 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.39 |     2.744 |
|                    25 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.11 |     2.271 |
|                    25 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.17 |     2.271 |
|                    25 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.26 |     2.271 |
|                    25 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.21 |     2.271 |
|                    25 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.33 |     2.271 |
|                    12 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         1.93 |     2.271 |
|                    12 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.04 |     2.271 |
|                    13 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.69 |     2.271 |
|                     9 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.21 |     2.271 |
|                    13 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         1.98 |     2.271 |
|                    34 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.01 |     2.271 |
|                    34 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         1.96 |     2.271 |
|                    30 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.25 |     2.271 |
|                    30 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.31 |     2.744 |
|                    30 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.11 |     2.271 |
|                    28 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         1.97 |     2.271 |
|                    26 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.26 |     2.271 |
|                    33 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.01 |     2.744 |
|                    26 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.08 |     2.271 |
|                    10 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.11 |     2.271 |
|                    29 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         1.95 |     2.271 |
|                    15 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.53 |     2.744 |
|                    16 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.08 |     2.271 |
|                    23 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.15 |     2.921 |
|                     7 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.08 |     2.271 |
|                     6 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         1.98 |     2.744 |
|                    12 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.54 |     2.921 |
|                    22 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.06 |     2.271 |
|                    27 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.67 |     2.921 |
|                    19 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         1.99 |     2.271 |
|                    18 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.16 |     2.744 |
|                     8 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.11 |     2.271 |
|                    20 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.1  |     2.921 |
|                     5 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.93 |     2.271 |
|                     4 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.01 |     2.271 |
|                    13 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.03 |     2.744 |
|                    34 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.23 |     2.921 |
|                     9 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         1.98 |     2.271 |
|                     9 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         3.11 |     2.271 |
|                    17 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         1.96 |     2.271 |
|                    12 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         1.99 |     2.744 |
|                    32 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.13 |     2.921 |
|                    34 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.03 |     2.271 |
|                    13 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.28 |     2.271 |
