  Partitions	  BCS[-]	  ICP[-]	  SM[+]	  MQ[+]	  IFN[-]	  WC_time[-]	  Loss[-]
           4	   2.654	   0.256	  0.064	  2.479	   3.75 	        6.04	   -1.703
           4	   2.586	   0.34 	  0.083	  2.276	   4.5  	        6   	   -0.785
           3	   3.399	   0.206	  0.071	  2.437	   4.667	        4.88	   -1.446
           3	   3.283	   0.332	  0.084	  2.439	   6.333	        5.21	    0.195
           3	   2.649	   0.134	  0.08 	  2.804	   2.667	        4.91	   -3
           5	   2.887	   0.355	  0.153	  4.015	   3.8  	        6.36	   -3.61
           5	   3.051	   0.409	  0.124	  3.362	   4.8  	        6.42	   -2.146
           3	   2.785	   0.06 	  0.118	  2.97 	   1    	        5.74	   -4.933
           4	   1.886	   0.117	  0.119	  2.874	   1.75 	        5.78	   -3.246
           5	   1.708	   0.216	  0.103	  2.251	   2.4  	        6.46	   -1.878
           5	   2.412	   0.208	  0.131	  2.746	   2.4  	        6.97	   -3.097
           5	   1.939	   0.246	  0.09 	  2.268	   3    	        6.53	   -1.543
           4	   1.836	   0.291	  0.03 	  1.63 	   4.25 	        6   	    0.463
           3	   1.254	   0    	  0.016	  1    	   0    	        5.18	   -2.27
           5	   2.9  	   0.302	  0.114	  3.011	   3.6  	        5.94	   -2.727
           5	   2.62 	   0.342	  0.159	  3.85 	   4    	        6.21	   -2.971
           3	   3.159	   0.09 	  0.126	  2.636	   1.333	        4.87	   -4.678
           5	   2.682	   0.219	  0.106	  2.466	   2.4  	        6.23	   -3.073
           3	   3.044	   0.146	  0.063	  1.794	   2.667	        4.97	   -2.38
           3	   3.152	   0.05 	  0.084	  1.981	   0.667	        5.04	   -4.6
           5	   1.854	   0.081	  0.156	  2.647	   0.6  	        6.04	   -4.138
           4	   2.274	   0.259	  0.124	  2.184	   4.25 	        5.61	   -0.591
           3	   2.583	   0.118	  0.134	  2.918	   2.333	        5.03	   -3.42
           5	   2.567	   0.179	  0.173	  3.778	   2    	        6.62	   -4.697
           4	   3.271	   0.264	  0.12 	  3.37 	   3.5  	        5.79	   -3.525
           3	   2.483	   0.199	  0.038	  1.755	   4    	        5.37	   -0.475
           4	   2.381	   0.179	  0.044	  1.79 	   2.75 	        5.49	   -1.644
           3	   1.485	   0.01 	  0.095	  1.991	   0.333	        5.21	   -3.248
           5	   2.724	   0.314	  0.097	  3.27 	   3.6  	        6.37	   -2.805
           3	   2.291	   0.114	  0.059	  1.856	   2.333	        4.98	   -1.987
