|   k |   BCS [-] |   ICP [-] |   SM [+] |   MQ [+] |   IFN [-] |   Time [-] |
|   5 |     2.468 |      0.42 |    0.119 |    2.589 |      6.25 |     16.067 |
|  15 |     1.993 |      0.66 |    0.049 |    3.449 |     3.636 |     17.822 |
|  15 |     2.336 |      0.58 |   -0.004 |    2.909 |     4.857 |       23.5 |
|  15 |     2.461 |     0.665 |    0.081 |    2.894 |      4.25 |     66.966 |
|  14 |     2.332 |     0.793 |     0.07 |    2.326 |       4.4 |    147.663 |
|  13 |     2.917 |     0.805 |    0.072 |    2.144 |         6 |     44.506 |
|  10 |     2.608 |     0.685 |    0.088 |    2.157 |     5.571 |     23.931 |
|  12 |     2.574 |     0.818 |    0.091 |     2.98 |     5.375 |     28.202 |
|   4 |     2.737 |     0.521 |    0.152 |    2.792 |      7.25 |     14.194 |
|   5 |     3.167 |     0.524 |    0.049 |    2.173 |         8 |      4.492 |
|   2 |     3.068 |      0.18 |    0.022 |    1.378 |         4 |      3.517 |
