  Partitions	  BCS[-]	  ICP[-]	  SM[+]	  MQ[+]	  IFN[-]	  WC_time[-]	  Loss[-]
           3	   3.283	   0.432	  0.138	  2.102	   7.667	        4.89	    1.712
           3	   3.283	   0.388	  0.113	  2.252	   7.333	        4.63	    1.297
           4	   3.385	   0.547	  0.173	  2.522	   7.25 	        5.58	    0.623
           4	   1.83 	   0.311	  0.229	  1.868	   4.5  	        5.29	    0.262
           4	   2.504	   0.46 	  0.213	  2.815	   6    	        5.24	    0.008
           3	   2.441	   0.413	  0.037	  1.387	   7.333	        4.58	    3.055
           3	   3.283	   0.339	  0.127	  2.305	   6.667	        5.07	    0.613
           2	   2.562	   0.123	  0.082	  1.434	   3    	        4.11	   -1.201
           2	   3.605	   0.213	  0.15 	  1.64 	   5.5  	        4.34	   -0.108
           2	   3.414	   0.247	  0.079	  1.844	   7    	        4.15	    1.416
           3	   2.642	   0.394	  0.177	  1.964	   7.333	        4.55	    2.156
           2	   3.379	   0.233	  0.082	  1.652	   6    	        4.26	    0.654
           3	   2.319	   0.342	  0.19 	  2.103	   6    	        4.79	    1.046
           3	   2.403	   0.235	  0.284	  2.276	   4.333	        4.79	   -0.865
           4	   1.69 	   0.207	  0.187	  2.316	   3    	        5.06	   -1.4
           2	   3.414	   0.253	  0.028	  1.717	   6.5  	        4.06	    1.088
           4	   1.69 	   0.26 	  0.175	  2.269	   3.75 	        5.35	   -0.644
           4	   2.618	   0.319	  0.285	  2.905	   4.5  	        4.94	   -1.627
           3	   2.403	   0.338	  0.161	  2.106	   6    	        4.95	    0.992
           4	   2.462	   0.404	  0.21 	  2.716	   5.5  	        5.28	   -0.292
           4	   2.809	   0.382	  0.171	  2.568	   5.25 	        5.27	   -0.68
           2	   3.379	   0.139	  0.113	  1.695	   4.5  	        4.28	   -0.826
           4	   2.618	   0.47 	  0.214	  2.701	   5.5  	        5.09	   -0.503
           2	   1.869	   0.022	  0.265	  1.648	   1    	        4.08	   -2.804
           2	   3.605	   0.371	  0.049	  1.46 	  11    	        4.64	    5.515
           4	   2.462	   0.399	  0.165	  2.636	   5.25 	        5.16	   -0.412
           2	   3.379	   0.162	  0.104	  1.642	   5    	        4.01	   -0.287
