|   k |   BCS [-] |   ICP [-] |   SM [+] |   MQ [+] |   IFN [-] |   Time [-] |
|  13 |     2.434 |      0.78 |    0.029 |    2.486 |     4.667 |     34.469 |
|  15 |      2.36 |       0.8 |    0.068 |    2.983 |       4.3 |    335.431 |
|  11 |     2.282 |     0.606 |    0.026 |    2.905 |     4.375 |     13.496 |
|  13 |     2.143 |     0.666 |    0.006 |    2.899 |     4.444 |     52.558 |
|   5 |     2.698 |     0.529 |    0.014 |    2.669 |         6 |      6.854 |
|   7 |     2.518 |     0.622 |    0.032 |    3.128 |     5.429 |     12.608 |
|   8 |     2.475 |     0.624 |    0.005 |    2.381 |     6.167 |      5.336 |
|   8 |     2.366 |     0.594 |    0.005 |    2.248 |     5.286 |     15.529 |
|  14 |     1.941 |     0.452 |    0.071 |     3.73 |     3.444 |    366.662 |
|   8 |     2.413 |     0.618 |    0.061 |     2.89 |     5.286 |     35.325 |
|  12 |     2.394 |       0.8 |    0.101 |    2.089 |     5.375 |     48.554 |
