|   Proposed Partitions |   Discovered Partitions |   BCS[-] |   ICP[-] |   SM[+] |   MQ[+] |   IFN[-] |   WC_time[-] |   Loss[-] |
|                     3 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.01 |     6.547 |
|                     6 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.21 |     7.087 |
|                     4 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         1.95 |     7.087 |
|                    11 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.51 |     6.547 |
|                     8 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.05 |     6.547 |
|                     8 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.9  |     6.547 |
|                     5 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.39 |     7.087 |
|                     5 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.03 |     7.087 |
|                     4 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.03 |     6.547 |
|                    10 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.9  |     6.547 |
|                     5 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         1.96 |     7.087 |
|                     7 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.34 |     7.087 |
|                     5 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.26 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.67 |     4.377 |
|                     4 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2    |     6.547 |
|                     3 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.94 |     6.547 |
|                    11 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.28 |     7.087 |
|                     3 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.17 |     6.547 |
|                     6 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.48 |     6.547 |
|                    11 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.97 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.19 |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.05 |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.9  |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.03 |     4.377 |
|                     9 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.94 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.02 |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.83 |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.11 |     4.377 |
|                     7 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.03 |     6.547 |
|                    10 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.97 |     6.547 |
|                     9 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.06 |     6.547 |
|                     2 |                       4 |    1.902 |    0.32  |   0.21  |   2.324 |     4.75 |         2.06 |     4.438 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.04 |     4.377 |
|                     6 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.32 |     6.547 |
|                     2 |                       4 |    1.902 |    0.32  |   0.21  |   2.324 |     4.75 |         2.06 |     4.438 |
|                     8 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.05 |     6.547 |
|                     7 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.17 |     6.547 |
|                     9 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         1.93 |     7.087 |
|                    10 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.48 |     6.547 |
|                     6 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.44 |     6.547 |
|                     8 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         1.87 |     7.087 |
|                     4 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.16 |     6.547 |
|                     3 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.01 |     6.547 |
|                    11 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.1  |     7.087 |
|                     5 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.18 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.96 |     4.377 |
|                     4 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.63 |     7.087 |
